,review_title,employee_status,Job_title,review_date,pros,cons,advise,ratings
31,Long Shifts,Former Employee,Front of House Team Member,2022-03-10,"Great team members, a nice place to work for an part-time job as a high school student","Very long shifts, little to no breaks, tiring",none,3.0
32,.,"Current Employee, more than 8 years",General Manager,2022-02-23,"Salary, growth, support, and benefits.","Expectations, deadlines, understanding, and communication.","Be open, listen, and take continuous learning.",5.0
33,It's alright,Current Employee,Anonymous Employee,2022-03-10,Free meal and hour break,Condescending in practice. Management doesn't not give you benefits requested.,none,2.0
34,Messy,"Former Employee, less than 1 year",Cashier,2022-03-10,"Good pay, good coworkers, good managers","very unorganized, stressful, dirty, low maintenances,",clean more lol,2.0
35,Head Cook,Former Employee,Walmart Cashier,2022-02-23,"Fun environment,  and meeting new people","Stress, and the risk of burning yourself",none,4.0
36,Decent workplace,"Former Employee, less than 1 year",Front of House,2022-03-09,"flexible schedule
Decent workplace for a highschool student
Good for first job experience","The pay isn't very good 14.75 
Harder to move up in company",none,3.0
37,"good company, customers just ruin it","Current Employee, more than 1 year",Shift Leader,2022-03-09,"a lot of raises, good opportunities for growth.",customers can effect your mentally and physically. Long shift hours with almost no break if it's busy.,listen to the worker's concerns.,3.0
38,Cook,"Former Employee, less than 1 year",Cook,2022-02-21,"The pay was great, I got paid 17 a hour.",Sometimes the customers weren't the nicest.,I think it is was great.,5.0
39,okay,"Former Employee, less than 1 year",Kicthen,2022-03-09,Good pay and fast pace,very understaffed and poor management,hire more people,2.0
40,Side Cook in taining for T1,"Current Employee, less than 1 year",Side Cook,2022-02-22,nice Staf and busya lot,busy a lot and hard work,none,4.0
41,Good pay,"Former Employee, more than 1 year",Shift Supervisor,2022-02-21,Panda pays very competitive wages,Same as any other restaurant.,Get a regional manager that lives on this side of the state.,4.0
42,It’s okay,Current Employee,Chef,2022-03-07,It’s okay. Not the greatest.,"Long hours, each chain is unique in flaws and positives",none,3.0
43,it was bad dont work there,"Former Employee, less than 1 year",Anonymous Employee,2022-03-07,you get free food and 15 break,they suck and are too serious,none,3.0
44,Great Place !!,"Current Employee, less than 1 year",Front of House,2022-02-19,Amazing staff and the environment is great,I was told a different starting pay than what I got,Keep up the great work!,5.0
45,Panda,"Current Employee, more than 1 year",Panda Express,2022-02-19,You get to take home food,Really rude customers sometimes but nice ones too,none,5.0
46,Good startup job,Current Employee,Best Buy Computer Sales Associate,2022-02-19,"Fast paced,  straight forward and simple","Repetitive, inconsistent scheduling and boring",none,5.0
47,It's okay,Former Employee,Anonymous Employee,2022-03-05,Helpful kitchen staff and decent pay.,"Long hours from open to close. 
Must stay after longer and come in before opening.",none,3.0
48,Great,Current Employee,Crew Member,2022-02-17,"Great benefits 
health, vision and dental
growing opportunities 
Fast paced work","close at 6am which is a bit early 
Inside the Scott air force base",none,5.0
49,Great starter job,"Former Employee, less than 1 year",Anonymous Employee,2022-02-18,"Good pay, good benefits, free meal for every shift",Can have really long shifts that can be very demanding sometimes,Not expect so much out of high school kids only working part time,5.0
50,Great starter job,"Former Employee, less than 1 year",Anonymous Employee,2022-02-18,"Good pay, good benefits, free meal for every shift",Can have really long shifts that can be very demanding sometimes,Not expect so much out of high school kids only working part time,5.0
51,It was great,Former Employee,GrubHub Driver,2022-03-03,"Flexible schedule, and pays oaky","Have to stay over shift to clean 
Dealing with mean customer",none,3.0
52,Job,Former Employee,Second Assistant Manager,2022-02-16,"Free food, benefits, pay, advancement","Work life/balance, diversity, management, long hours",none,5.0
53,Great place to work while in school,Former Employee,Server,2022-02-16,Great benefits and flexible hours,There are no cons to working here,none,5.0
54,Maybe It's Just All of the Locations In My Area...,"Former Employee, more than 3 years",Chef,2022-03-03,"Not horrible for a first job
- Reasonable hours for high school/ college students
- In some cases, if there's enough staffing, hours can be a little more flexible.
- You may even be able to pick up hours at another Panda Express location.

Not the worst starting pay
- I believe this varies by area, but when I first started, my pay was about $4 above the federal minimum wage.

There are opportunities for pay raises
-Taking and passing the ServSafe exam guarantees a pay increase (at least when I worked at Panda Express).
- Sometimes you can switch roles/positions (front of the house to back of the house to cook and vice versa).

The work isn't super intensive
- Cooks and BOH primarily do the majority of the lifting, but it's not a constant lifting job.","I primarily worked at one location, but I noticed most of these same problems the handful of times I volunteered to work at two other nearby locations:

A pretty high turnover rate (at least when I was there)
- During my 3 years working here, I've gone through about 6 or 7 different managers
- There was a period when a staff member would quit about every 2 week
- The work environment wasn't hostile, but it definitely wasn't sunshine and rainbows. While we all clearly signed up for this job none of us wanted to be there and in many cases, it showed.

Not enough (reliable) staffing
- There were multiple occasions when I've had to jump between being the kitchen, drive-thru, front counter, and the back of the house (dishwasher area) all at once because multiple staff members either called out at the last minute or showed up super late and there was no replacement. 
- Multiple people constantly showed up late, called out due to ""emergencies"", or simply didn't show up. Personally, after 3+ warnings, I believe these people should have been fired, but I can understand why the management couldn't fire half of the staff.
- There was a point when we didn't have a manager and the staff members had to divvy up the duties for about a month.

Inconsistent managerial skill levels
- To start off, I want to say that not all of my managers were ""bad"". There were 2 that seemed to garner significant respect from the staff. This cannot be said for the rest.
- Most of the staff (including myself) were young (typically high school/college age). The managers that I believe had the most respect, least pushback from workers, and the most efficiency were the ones that didn't act like everyone's friend. A laid-back manager leads to a laid-back (lazy) staff.
- If I am to be working under someone, I expect them to at least understand how to do the basics of my job. Sometimes sending in a half-trained staff member to take the place of a fully-trained one is more trouble than it's worth. They end up getting in the way or just overall slowing everyone down, especially if said staff member is the manager.","Many problems start at the managerial level. It's their responsibility to ensure their staff arrives on time to complete their work in a safe and efficient manner.  If there are repeat offenders, sufficient actions should be taken in order to correct/eliminate these problems. If one or two staff members are able to repeatedly get away with ""breaking the rules"" the rest of the staff is likely to follow in their footsteps, the entire process starts to break down, and overall, everyone's job becomes more difficult.",2.0
55,It was fine.,"Former Employee, more than 3 years",Person In Charge,2022-02-16,It was good experience working with people.,Didn't pay all that well while I was working there and were very pushy on you taking higher positions than you wanted.,Care a little more for employee feelings and respect decisions when we say no.,4.0
56,It sucks,Former Employee,Counter Help,2022-03-02,The food is pretty good,Everything pretty much sucks here,none,2.0
57,Good First Experience,"Former Employee, less than 1 year",Front of House Team Member,2022-02-15,"- Always able to get your hours and even more if you need them
- Great coworkers
- Simple work
- Sufficient breaks and lunch breaks","- Possible long shifts (12 hrs)
- Standing almost all day
- Extremely fast-paced
- Heavy rushes (tough customers every once-in-a-while)","Attempt to avoid being understaffed if at all possible. Ask workers about the conditions and how they feel at times. I understand that the ""customer is always right,"" but don't take all of their complaints at face value as your workers are trying their best. Make sure you're all being strong leaders, and leading your employees by example.",4.0
58,It was chill,"Former Employee, more than 1 year",Anonymous Employee,2022-02-15,"Cool co-workers, good food, good pay for a part-time student","Very busy restaurant, management was not always kind to staff",none,4.0
59,Great work environment,Current Employee,Cook,2022-02-15,Ability to grow within the company quickly,Inability to feel like you have free time,Become more familiar with the associates (red shirts),4.0
60,Overall experiance,Current Employee,Shift Leader,2022-02-15,Nice team good environment room to grow,Busy sometimes miss management long hours,none,4.0
61,Do not work here,"Former Employee, less than 1 year",Cashier/Associate,2022-03-01,Everyone is nice and Friendly there,Very much to the book. They micromanage ALOT… didn’t sit well with me,none,2.0
62,Pay is above average but they make you hard.,"Current Employee, more than 3 years",Cashier,2022-02-28,Free meals and nothing else,"Work you hard. 
CO-workers were nasty with the young girls.","Strong sexual harassment training.  If I knew what I knew now, I would have had a lump sum with the amount of sexual harassment I received.",3.0
63,Excellent integrity as a company,"Former Employee, less than 1 year",Prep/Line Cook,2022-02-13,This company is built on solid morals and for the most part it shows.,"There are some management issues, that I experienced that were not being resolved.",none,4.0
64,Panda Express Review,"Former Employee, more than 3 years",Cook,2022-02-26,"Great pay and some flexibility. The wages increase over time and if you are willing to work and move up to management, they are very open and willing to train you. 

If you are a student who is looking to finish a degree and is willing to work a physically demanding position for a higher base pay than working in fast food, this is a place for you. If you don't mind working in a fast paced environment and have to be meticulous about cleaning, this would be great for you.","Physically demanding. Management tends to pile more work onto workers and expect them to still get out at the same time as they are scheduled. High turnover rate, thus having a short staff at some stores.","Management could learn how to better communicate with their team and how they deliver their message. There is a tendency for managers to talk down on their workers thus killing the morale of the store. There is no need to be called out for doing a task wrong or forgetting about a task, be aware that there are multiple tasks that has to be done so there should be some leniency towards that.",3.0
65,Panda Express- Front of house,"Current Employee, more than 1 year",Panda Express,2022-02-10,"Good pay. 
Good benefits. 
Free food during lunch.","Rude customers.
Extremely busy
Somewhat long hours",none,5.0
66,Fairly Decent Job,"Current Employee, more than 1 year",Cook,2022-02-10,Good Environment and Team Atmosphere,Upper management is very strict and harsh.,none,4.0
67,Good first job but unfair management  leads to stressful environment,"Former Employee, more than 3 years",Shift Leader,2022-02-24,"Good way to learn basic customer skills
I loved my co workers",Bad management leads to high stress and unfair practices,You should try to respect your  employees more. Have better leadership skills so that you can build a team with synergy,3.0
68,Good,Former Employee,Cashier,2022-02-10,Good work environment for part time high schooler,"Short lunch breaks, overbearing manager",none,4.0
69,Decent Work Environment,"Former Employee, less than 1 year",Front of House Staff,2022-02-24,"Team collaboration, builds customer service skills","Depending on management, work experience may vary",none,3.0
70,Decent Work Environment,"Former Employee, less than 1 year",Front of House Staff,2022-02-24,"Team collaboration, builds customer service skills","Depending on management, work experience may vary",none,3.0
71,GOOD PAY THAT IS IT!,Former Employee,Panda Express,2022-02-24,"good pay
meal breaks
20% employee discount","the people
the tasks/so much work always 
expectations
the smell
the managers
no benefits",none,3.0
72,VERY dependent on location and manager,"Former Employee, more than 3 years",Cook,2022-02-07,"This section will be for when you have a good manager

-Very organized kitchen with quick and efficient prep flow
-Well staffed with reasonable worklist
-Comped meal every shift, 2 if you work a double","This section will be for a bad manager

-Either understaffed, or worklist will be too long to get done in a reasonable amount of time without cutting corners
-Very stringent standards for cleanliness at the expense of time to get food out
-Locations with drive-thrus are worse to work at by far",none,4.0
73,Not so bad for retail,"Current Employee, less than 1 year",Associate,2022-02-09,"- Flexible hours
- Space for promotion
-Diversity","-Physical demanding
-Long hours, short breaks",More bonus pls...,4.0
74,good company to make money,Current Employee,General Manager,2022-02-23,"well paid, good benefit and busy","no work life balance, upper management is pushy.",none,3.0
75,Depends on the management,"Current Employee, less than 1 year",Team Member,2022-02-23,"Flexible scheduling
Scholarship opportunities 
Bonuses
Will transfer you if you move","Managers make or break the experience. This one started strong, and then got transferred. The new ones were not good - we frequently ran out of food hours before closing, and the college female manager was the equivalent of a high school mean girl.",Set the example.,3.0
76,Good Work Environment,"Current Employee, less than 1 year",Cashier,2022-02-08,It's a great place to work as a high school student. Pay was decent and the work kept me on my feet. I appreciated the high standards of management in delivering quality food and service.,Sometimes I didn't get a great selection for my work hours.,More transparency on work hour selection.,5.0
77,"Great Culture, Stressful work hours",Former Employee,Front of House,2022-02-22,Coworkers are very friendly and helpful,"Constantly working over scheduled time, not enough staffing",none,3.0
78,Amazing company for career development!,"Current Employee, more than 3 years",Recruiter,2022-02-07,"If you are unsure of your career calling in life, panda is a good place to start to teach you about life, business and overcoming challenges. The environment is diverse and I have learned so much about different cultures and how to work with different people.",Some growth for management may be rushed,none,5.0
79,Does not about employees,Current Employee,FOH Team Member,2022-02-22,"High pay for minor
Good first job","Does not offer holiday pay
Punishes employees for simple mistakes
Too much work",none,2.0
80,good busy work,Former Employee,Kitchen Help,2022-02-07,good busy work alot clean,very fast pase and OK managers,none,4.0
81,a toxic environment,Current Employee,Panda Express Lead Counter,2022-02-20,nothing is a pro sugar,"drama
management is not so good 
we do not get paid for doing manager work",none,3.0
82,Job,"Current Employee, less than 1 year",Shift Leader,2022-02-21,Good first job. Friendly managers,Always understaffed. Very focused on how they are supposed to look,none,3.0
83,people,Current Employee,Part Time Sales Associate,2022-02-21,pay enough and flexible hours,"don't treat people right , work environment is toxic",none,3.0
84,Great first job,Current Employee,Sales Associate/Cashier,2022-02-06,"Good pay 
Shift hours 
Discounts","Managers 
Co workers 
Customers
Busy work",none,5.0
85,Good Job for hard worker,"Former Employee, more than 1 year",Cook,2022-02-06,"Free food on breaks, good breaks, good pay, solid cooking experience, no customer interaction",Hard work not for everyone,none,5.0
86,BOH is a marathon,"Former Employee, more than 3 years",Cook,2022-02-20,"free lunch 
flexible schedule
small work week","toss up on management but usually not great
long work days 
able to pick up shifts but only if it doesn't hit OT
no change, maintained status quo even if poor environment",find a solution to a problem and don't play the blame game. Actively take a part in the training if you want your store to succeed.,3.0
87,Live to work and have no life.,"Former Employee, more than 5 years",Assistant Manager,2022-02-16,"Learning great leadership skills through Landmark. Learning how to run clean restaurant operations.
Good pay because of overtime 50+ hours expected weekly open to close management, or you could work for a different company and make higher hourly wage 40 hrs per week.","Poor work life balance, for example I worked for 4 years as a manager and never got a vacation. When asking upper management for vacation i was always made to feel bad for requesting time away, often saying that if I took a vacation I don’t care about my job. I was also passed up for promotion even though I performed the next role for over a year.","Chose a new mission and values statement that is heartfelt and that each leader lives in to.( We we’re only forced to memorize it, no one lived it) Put systems in place so managers can take time off regularly. Put systems in place so that shift leaders and chefs can run operations, to make managers more big picture and able to plan ahead. Create a system for detail cleaning company wide. (And Not just when Andrew and Peggy or RDO comes to town)  Create an environment of mutual trust between upper management and managers, add value during visits. Don’t just make the manager feel bad about themselves because 1 thing is out of place. Coach don’t ruin their day. 
Focus more on the associate experience vs just making money. (Example: we never closed early during the pandemic even if there were only 2 people able to work during quarantine of exposed associates) the more you care for those who work for you the higher the retention and lower turn over. ( They are still scratching their heads as to why they can’t hire or retain anyone good)",3.0
88,Okay,Current Employee,Shift Manager,2022-02-18,Good pay and bonuses for the job,Long hours with minimal time off,none,3.0
89,It'll do,Former Employee,Assistant Manager,2022-02-17,"Fair pay, benefits for most employees, bonuses available for all level employees,",Will work you to the bone and then be unhappy when you don't volunteer to pick up shifts,none,2.0
90,Pretty Good Experience,"Former Employee, more than 1 year",Anonymous Employee,2022-02-16,Good management and a lot of support in the drive-thru/lobby from other team members,"Working conditions can be intense (ex. very hot steam table, carrying hot foods, carrying heavy items, and needing to reach high places)",none,3.0
91,Ok,Former Employee,Cashier,2022-02-17,Good pay and had chill coworkers,Terrible management and higher ups do not care,none,3.0
92,Easy fast paced,"Current Employee, more than 1 year",Counter Help,2022-02-02,Easy & faced pace environment,Working many Hours and being called in on days off,none,5.0
93,It is fun working there.,Current Employee,Kitchen Help,2022-02-02,The manager and coworkers were nice and fun.,The ACO that were were not under wanted to poke their nose in our business.,none,5.0
94,One of the best places i’ve worked at,Former Employee,Crew Member,2022-02-02,"•Flexible work schedule
•Opportunities to move up
•Great coworkers
•Great helpful but fun group chat
•Pay can be just as good or better than most fast food places","•Very strict regarding tattoos and piercings 
•They want high performing individuals, they want everyone to move up and strict over all on the job how you do a job (technique) and how well you do it (execute the job)
•They move management around a lot which can sad when you build a relationship/family to find out the GM,AM, or KM will be moved within the next year or so..",none,5.0
95,Dont recommend,"Current Employee, more than 1 year",Counter Help,2022-02-16,Pros would depend on how your store is getting managed,"non-flexible hours, poor work and life balance",none,2.0
96,Shift Lead,Current Employee,Shift Leader,2022-02-17,Getting to know customers and completing orders,Long hours with little pay,none,2.0
97,Cheap Company,Current Employee,Shift Lead,2022-02-02,Cool people to work with,Need a lot more budget to fix up stores,none,4.0
98,Job Review,"Current Employee, less than 1 year",Part Time Cashier,2022-02-01,Respectful co-workers who care about the customers and workers,"Time management, no breaks and working very late shifts","Stabled time, breaks are available",5.0
99,Panda Express,"Former Employee, less than 1 year",Counter Help/Cashier,2022-03-09,"Free food, new friends, clean","Constantly understaffed
Managers were uncaring & rude
Disrespectful customers
Management unwilling to change
Underpaid severally",Make schedule and keep to it. Pay your employees what they deserve and don't lie to them about receiving a pay increase when they have to activate on some random website YOU didn't tell them about.,1.0
